design,n_paths,wns_ns,density_at_1pct,density_at_5pct,density_at_10pct,density_at_20pct,count_at_1pct,count_at_5pct,count_at_10pct,count_at_20pct
aes,342,-0.387900,0.002924,0.002924,0.002924,0.029240,1,1,1,10
bitonic_sorter,8,-0.182900,0.250000,0.250000,0.250000,0.250000,2,2,2,2
double_fpu,100,-0.605300,0.020000,0.020000,0.060000,0.100000,2,2,6,10
e203,100,-3.029200,0.010000,0.010000,0.010000,1.000000,1,1,1,100
jpeg_encoder,100,-1.080000,0.010000,0.140000,0.570000,0.610000,1,14,57,61
reed_solomon,100,-0.483600,0.020000,0.030000,0.050000,0.180000,2,3,5,18
sha512,100,-1.081800,0.010000,0.010000,0.010000,0.020000,1,1,1,2
systolic_tpu,100,-0.645100,0.020000,0.020000,0.020000,0.020000,2,2,2,2
uberddr3,100,-0.395700,0.010000,0.010000,0.020000,0.030000,1,1,2,3
verilog_axi,100,-0.600400,0.010000,0.040000,0.120000,0.260000,1,4,12,26
viterbi,100,-2.457900,0.020000,0.260000,0.630000,0.640000,2,26,63,64
wb_dma,100,-7.552700,1.000000,1.000000,1.000000,1.000000,100,100,100,100
